combination,features,cv_K_rmse,cv_K_mae,cv_K_r2,final_epochs,ensemble_test_K_rmse,ensemble_test_K_mae,ensemble_test_K_r2
12_density+MCN,"density,MCN",5.2088231125353814e-05,3.1405863301689354e-05,0.9998211978804472,320,5.2067279913792294e-05,3.492752076664446e-05,0.9992439972946533
03_MCN,MCN,5.239925685843084e-05,3.4073102208273695e-05,0.9998190562030435,1183,3.490814971445328e-05,2.7414172673373723e-05,0.999660181334914
33_density+MCN+q_over_p,"density,MCN,q_over_p",5.4381444889032704e-05,3.61515768357866e-05,0.9998051075887965,418,4.056840702681326e-05,2.9117628616577594e-05,0.9995410456616501
16_MCN+q,"MCN,q",5.945576983905894e-05,3.683165719323462e-05,0.999767039946453,1722,4.1045029518210234e-05,3.1619462887644396e-05,0.9995301981589351
17_MCN+q_over_p,"MCN,q_over_p",6.010254036528326e-05,3.8865211528616266e-05,0.9997619440166988,1404,3.66645340040871e-05,2.1280605192059897e-05,0.9996251254918893
27_trace_sigma+MCN+q_over_p,"trace_sigma,MCN,q_over_p",6.076325136920479e-05,3.933984923343359e-05,0.9997566813194705,1223,2.749191314333069e-05,1.8608331269006762e-05,0.9997892325719299
26_trace_sigma+MCN+q,"trace_sigma,MCN,q",6.173036805708377e-05,4.012700364890705e-05,0.9997488742905448,1122,4.026889812720533e-05,3.209705633382658e-05,0.9995477973926102
32_density+MCN+q,"density,MCN,q",6.263422455295751e-05,4.5184561722089524e-05,0.9997414664832011,1075,4.227509809714107e-05,3.043744975780977e-05,0.9995016174615834
48_trace_sigma+MCN+q+q_over_p,"trace_sigma,MCN,q,q_over_p",6.340937414905741e-05,3.921307943587278e-05,0.999735027759881,1258,3.39424542560282e-05,2.1712016760033287e-05,0.9996787226917851
38_MCN+q+q_over_p,"MCN,q,q_over_p",6.570943024692623e-05,3.829394244495993e-05,0.9997154563835298,1635,2.659804026105019e-05,1.918360982e-05,0.9998027155534465
