combination,orientation,original_rmse,orientation_rmse,rmse_improvement_pct,original_mae,orientation_mae,original_r2,orientation_r2
03_MCN,global,3.3648765320261565e-05,3.237421926378827e-05,3.787794423784785,2.675882480313306e-05,2.8649705499206736e-05,0.99968425837766,0.999707724658077
03_MCN,horizontal,6.0127345150095735e-05,2.5760382061993585e-05,57.1569607843353,5.227196779842694e-05,2.31034788019298e-05,0.9997906460045897,0.9999615725296287
03_MCN,vertical,2.5847947199974557e-05,3.346577182675446e-05,-29.47168132093445,2.1990013028311775e-05,2.968638338654822e-05,0.886496819559458,0.8097355690569612
12_density+MCN,global,5.570790152338246e-05,1.037704239797027e-05,81.37240478603438,4.232220038097742e-05,7.278822974459374e-06,0.9991345795207234,0.9999699710081541
12_density+MCN,horizontal,1.2436739269124894e-05,7.555159478405716e-06,39.251283516396086,1.100536058883185e-05,5.770437901840976e-06,0.9999910432540546,0.9999966945966057
12_density+MCN,vertical,6.045269854204725e-05,1.0823189641256643e-05,82.09643257905404,4.817581529539716e-05,7.560764109528233e-06,0.37914912244664345,0.9800993871277863
16_MCN+q,global,4.1045029518210234e-05,2.037931624623565e-05,50.348881495641116,3.1619462887644396e-05,1.3888295161771043e-05,0.9995301981589351,0.9998841828730753
16_MCN+q,horizontal,8.206762295856909e-05,4.027821867763039e-05,50.92069536610755,6.769695158253092e-05,3.380637357595411e-05,0.9996099853634981,0.9999060541268009
16_MCN+q,vertical,2.7215701239546668e-05,1.3773366347308909e-05,49.39183735859406,2.487600705682448e-05,1.016528985070879e-05,0.8741668777122228,0.967771795301296
17_MCN+q_over_p,global,4.597338900964842e-05,3.126664091042472e-05,31.989697553376363,2.8382958554454795e-05,2.3788834553729474e-05,0.9994106047803605,0.9997273810620888
17_MCN+q_over_p,horizontal,0.0001006757282796062,5.998645552794237e-05,40.416169266397276,7.93151594183858e-05,5.2269570249943156e-05,0.9994130693944625,0.9997916259663072
17_MCN+q_over_p,vertical,2.478112068372821e-05,2.208481166233519e-05,10.880496712820065,1.8862921009794794e-05,1.8465332554437198e-05,0.8956727401959922,0.9171403079004087
33_density+MCN+q_over_p,global,3.983260500659563e-05,2.858464540052377e-05,28.23807181129474,2.533392111073375e-05,2.411411182276625e-05,0.9995575430827874,0.9997721446722351
33_density+MCN+q_over_p,horizontal,8.71145136560995e-05,2.7438082323613703e-05,68.50343166475042,7.290639150887706e-05,2.3984106443294743e-05,0.9995605411354197,0.9999564041945201
33_density+MCN+q_over_p,vertical,2.1557151978824674e-05,2.8793892258246922e-05,-33.570020225913,1.644187056902472e-05,2.4138411893695504e-05,0.9210524454044211,0.8591500601904991
