epoch,train_mse,validation_mse
1,41.430439511934914,102.12667837756419
2,5.682491334279378,41.2991382866575
3,9.957067823410034,21.434119174354954
4,6.868420841296514,11.537284081442314
5,3.2183655944963294,8.145111000328733
6,4.037832581996918,6.9803207129762885
7,3.796103052298228,6.465185868112664
8,3.746983261903127,6.090351785135548
9,2.568190344174703,5.702247904058089
10,4.536475145816803,5.427014916960956
11,4.885966451962789,5.259259943376508
12,3.7580506483713787,5.0054466821994
13,3.0984612507124742,4.900000304506536
14,2.7452490826447806,4.772932797147517
15,3.486822106689215,4.467724013746831
16,26.790189665555953,3.1827221289113687
17,7.223761867483457,4.629086250101614
18,3.9468541224797566,5.314891704341822
19,3.3061179876327516,5.485631142443384
20,3.886195283134778,5.437786494082178
21,3.992302304506302,5.272681090566847
22,3.645272115866343,5.070953047066404
23,3.6800670266151427,4.921575482825787
24,3.265274827182293,4.781426960264731
25,3.524985122680664,4.627137547347978
26,3.2185595949490864,4.426027816638612
27,3.3188472588857016,4.277432843955637
28,3.223471482594808,4.181557110875671
29,2.702258923649788,4.003874004932872
30,3.623867099483808,3.874255971601832
31,3.0781104783217113,3.7058503516236243
32,2.662577363848686,3.526879744222987
33,1.8715248107910156,3.3916840699681066
34,4.161966594060262,3.4513704407284833
35,3.982832467556,3.7979559061820045
36,9.835789463917415,4.964173739416557
37,3.533537739018599,5.6464756873616
38,4.093227811654409,5.929359696761907
39,3.7166014432907106,5.891550981510452
40,6.060606016715368,6.048450645647551
41,3.6722049335638682,7.479116851126242
42,3.9062538792689643,7.929378713083546
43,4.286144105593364,7.887146000276532
44,5.175321395198504,7.673414206644248
45,4.4345939954121905,7.388539849666127
46,5.283125456174215,7.125474685813948
47,4.883169069886208,6.835041120038395
48,4.169440064827601,6.5112656947464975
49,2.7706361442804335,6.203462240988748
50,4.805434727668763,6.045901255300867
51,3.752128385504087,5.861944036874157
52,2.831788508097331,5.621657456570898
53,3.573265568415324,5.365871821927746
54,3.051401862502098,5.060632901582104
55,3.4066865921020506,4.853743925429227
