combination,features,cv_K_rmse,cv_K_mae,cv_K_r2,final_epochs
12_density+MCN,"density,MCN",5.3694780830804065e-05,3.279703247270273e-05,0.9998099982539528,1885
16_MCN+q,"MCN,q",6.03144233497989e-05,3.135668740666866e-05,0.9997602625928698,4517
03_MCN,MCN,6.374888031129654e-05,3.966374841450583e-05,0.9997321827376593,2104
38_MCN+q+q_over_p,"MCN,q,q_over_p",6.440998063506543e-05,3.830675145937083e-05,0.9997265991999624,3272
26_trace_sigma+MCN+q,"trace_sigma,MCN,q",6.452251707875235e-05,4.101421162374256e-05,0.99972564299933,3998
42_trace_sigma+density+MCN+q,"trace_sigma,density,MCN,q",6.483567200764986e-05,4.037731396864273e-05,0.9997229733966924,3232
27_trace_sigma+MCN+q_over_p,"trace_sigma,MCN,q_over_p",6.564394989353638e-05,4.191022364966866e-05,0.9997160232042421,3090
53_density+MCN+q+a,"density,MCN,q,a",7.675605853436802e-05,4.667768295337306e-05,0.999611743464721,3849
35_density+q+q_over_p,"density,q,q_over_p",7.88100147767519e-05,4.3597001112187026e-05,0.9995906863181195,3167
24_trace_sigma+density+q_over_p,"trace_sigma,density,q_over_p",7.909630200460256e-05,4.5900143964967346e-05,0.9995877071506252,2863
13_density+q,"density,q",7.918829493095282e-05,4.517407384251321e-05,0.9995867475588148,3466
40_MCN+q_over_p+a,"MCN,q_over_p,a",7.927538032520456e-05,4.742411076702112e-05,0.9995858381304606,3582
33_density+MCN+q_over_p,"density,MCN,q_over_p",7.984983922488922e-05,5.5028337204556455e-05,0.9995798140408736,2480
39_MCN+q+a,"MCN,q,a",8.024888713967545e-05,4.499371753067315e-05,0.9995756038055885,4522
28_trace_sigma+MCN+a,"trace_sigma,MCN,a",8.358789091333719e-05,4.969287471496148e-05,0.9995395524372999,4057
34_density+MCN+a,"density,MCN,a",8.596044379187049e-05,5.9591256327286225e-05,0.9995130428557183,3312
56_MCN+q+q_over_p+a,"MCN,q,q_over_p,a",8.7754136347624e-05,5.406005918385322e-05,0.9994925086588878,3467
02_density,density,9.338296157316636e-05,6.171999336368722e-05,0.9994253164971841,1805
44_trace_sigma+density+MCN+a,"trace_sigma,density,MCN,a",9.837882993096287e-05,5.539665756471967e-05,0.9993621820316361,2674
37_density+q_over_p+a,"density,q_over_p,a",0.00010096660234954369,6.23982842042554e-05,0.9993281861888271,3696
54_density+MCN+q_over_p+a,"density,MCN,q_over_p,a",0.00010226394709169296,6.148617407473893e-05,0.9993108106680023,3036
