model,combination,features,validation_target_mse_lnK,validation_K_rmse,validation_K_mae,validation_K_r2,test_target_mse_lnK,test_K_rmse,test_K_mae,test_K_r2,validation_physical_metrics_finite,test_physical_metrics_finite,configured_neighbors,effective_neighbors
rbf_4,07_trace_sigma+density+MCN,"trace_sigma,density,MCN",0.00022632419576641504,5.2215108009885264e-05,4.454886846527146e-05,0.9994713618900063,0.00023953103255549288,4.876368415047486e-05,3.718518751229429e-05,0.9996002949330335,True,True,40,40
rbf_4,15_trace_sigma+density+MCN+q,"trace_sigma,density,MCN,q",0.00035991993897550867,6.109396074634975e-05,5.3121770054589364e-05,0.9992762931717486,0.00032625145248031976,6.7341597966925e-05,5.368902378236686e-05,0.9992377218525563,True,True,40,40
rbf_4,55_trace_sigma+density+MCN+q_over_p+a,"trace_sigma,density,MCN,q_over_p,a",0.0003229138611458434,6.162813200792404e-05,5.375658368067448e-05,0.999263582474368,0.00029228201438010723,5.6620884614714295e-05,4.915971028858436e-05,0.9994611102352202,True,True,40,40
rbf_4,39_trace_sigma+density+MCN+a,"trace_sigma,density,MCN,a",0.0003215397869619749,7.014646265413732e-05,5.661852062220103e-05,0.9990459356725945,0.00027803437482010646,5.2347227619600325e-05,4.318454321658581e-05,0.9995393893173019,True,True,40,40
rbf_4,53_trace_sigma+MCN+q_over_p+a,"trace_sigma,MCN,q_over_p,a",0.00044648814104925153,8.797605578764829e-05,6.934558473249769e-05,0.9984992958549939,0.0004239381104813518,8.991825917488032e-05,7.283085846375105e-05,0.9986409281562635,True,True,40,40
rbf_4,19_trace_sigma+density+q_over_p,"trace_sigma,density,q_over_p",0.0007604059753563385,9.040655209709646e-05,7.264180622421449e-05,0.9984152311715333,0.009808264794471071,0.00047818333703020574,0.0001640656194632579,0.9615642365934767,True,True,40,40
rbf_4,51_trace_sigma+density+q_over_p+a,"trace_sigma,density,q_over_p,a",0.0006974634965062316,0.00010226114783101336,8.217219411909604e-05,0.9979723759514485,0.0008027310466183328,0.00014182139380842194,0.00010809081138764777,0.9966191170672151,True,True,40,40
rbf_4,37_trace_sigma+MCN+a,"trace_sigma,MCN,a",0.0007726350306094732,0.00011759241970827903,9.308035706466677e-05,0.9973188274702357,0.00048247695177022277,7.792422376331919e-05,6.240031697875704e-05,0.9989793153016653,True,True,40,40
rbf_4,61_trace_sigma+MCN+q+q_over_p+a,"trace_sigma,MCN,q,q_over_p,a",0.001151332040909059,0.00012120966680278455,0.0001076422237288504,0.9971513399699956,0.00103318903087475,0.00012231869542493,0.00010608893304429451,0.9974850328570721,True,True,40,40
rbf_4,29_trace_sigma+MCN+q+q_over_p,"trace_sigma,MCN,q,q_over_p",0.0006943174108313513,0.00012569411636531135,8.47034225800441e-05,0.9969366543303366,0.001409777630082603,0.00011386464423011436,7.67451538653305e-05,0.9978206628526625,True,True,40,40
rbf_4,45_trace_sigma+MCN+q+a,"trace_sigma,MCN,q,a",0.0009354465329680285,0.00012647211150170693,0.00010311956175827325,0.9968986152585315,0.000755084116026804,0.00010148960089033238,8.333830052184974e-05,0.998268630654987,True,True,40,40
rbf_4,13_trace_sigma+MCN+q,"trace_sigma,MCN,q",0.0013353304901584041,0.0001291601568241762,0.000110182234855164,0.9967653802457639,0.0011150679362999707,0.00012220992471459891,0.00010231180549209458,0.9974895036885127,True,True,40,40
rbf_4,31_trace_sigma+density+MCN+q+q_over_p,"trace_sigma,density,MCN,q,q_over_p",0.00202058570631994,0.0001399440766364712,0.00011837966834789236,0.9962026979029481,0.0014895016410008963,0.00012522011314519528,0.00010540320233419953,0.9973643070298305,True,True,40,40
rbf_4,63_trace_sigma+density+MCN+q+q_over_p+a,"trace_sigma,density,MCN,q,q_over_p,a",0.0018243522729318184,0.0001437312450166205,0.00012589763277997933,0.9959943916639412,0.0019890687781485236,0.0001521421398835166,0.00013065221634754191,0.9961091393660642,True,True,40,40
rbf_4,27_trace_sigma+density+q+q_over_p,"trace_sigma,density,q,q_over_p",0.0021439087324457364,0.00015194217022404657,0.00012310558428157238,0.9955236631770421,0.002088999696612576,0.00016267903363863072,0.0001340523348582417,0.9955515388474885,True,True,40,40
rbf_4,47_trace_sigma+density+MCN+q+a,"trace_sigma,density,MCN,q,a",0.0021030885065169984,0.0001600247876143109,0.00013452830327903174,0.9950347556472146,0.0024461422535001377,0.00016363994879655931,0.00013295099789535154,0.9954988311533879,True,True,40,40
rbf_4,35_trace_sigma+density+a,"trace_sigma,density,a",0.0007677186759985729,0.00016972903847617963,9.676401284706613e-05,0.9944142896799197,0.00047361137221615647,9.462013627154865e-05,7.329455990303555e-05,0.9984950787560593,True,True,40,40
rbf_4,43_trace_sigma+density+q+a,"trace_sigma,density,q,a",0.0017409076210668437,0.00017383279418490828,0.0001380977650902555,0.994140918631847,0.0019525292048316524,0.000173113469756522,0.00014553695010221168,0.9949625777419802,True,True,40,40
rbf_4,59_trace_sigma+density+q+q_over_p+a,"trace_sigma,density,q,q_over_p,a",0.0025163786170558254,0.00018891930221382364,0.0001581978376703556,0.9930797979814516,0.0027761764951491365,0.00021127359461728417,0.00017785182310978799,0.9924969631837909,True,True,40,40
rbf_4,11_trace_sigma+density+q,"trace_sigma,density,q",0.0028624845229003465,0.0002020485105360718,0.00015234284997606536,0.9920845171240154,0.0028075373093142024,0.00018645958160660937,0.00014124371416165968,0.9941559214414283,True,True,40,40
